Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/parking,"16,962","9,840",0:00:16,"8,577",5.53%,8.34%,$0.00 
/departments,"16,107","5,988",0:00:11,134,0.00%,2.62%,$0.00 
/utilities/residential,"15,928","6,114",0:00:52,801,1.12%,29.31%,$0.00 
/police/employment,"14,843","6,680",0:00:23,"2,050",10.44%,17.42%,$0.00 
/documents/viewDocument.php?document_id=596,"14,656","11,482",0:01:31,"2,649",62.51%,69.67%,$0.00 
/maps,"13,941","4,661",0:00:36,"2,470",2.02%,24.82%,$0.00 
/transportation/parking/neighborhood-parking,"13,934","5,618",0:00:53,"4,210",0.57%,34.81%,$0.00 
/documents/viewDocument.php?document_id=518,"13,931","6,740",0:00:32,837,34.65%,16.11%,$0.00 
/parks/parks/griffy-lake,"13,845","5,553",0:00:26,"4,947",1.66%,22.17%,$0.00 
/parks/facilities/cascades-golf-course,"13,676","4,980",0:00:34,"4,533",1.04%,24.91%,$0.00 
/sanitation/recycling,"13,283","5,177",0:00:29,"3,939",0.99%,29.18%,$0.00 
/recreation/sports/softball,"12,929","5,576",0:00:34,"4,806",3.62%,41.54%,$0.00 
/news/2017/09/27/2890,"12,736","6,046",0:00:22,"5,767",0.05%,44.74%,$0.00 
/sanitation/modernization,"12,706","4,919",0:00:23,"1,890",3.81%,14.95%,$0.00 
/parks/pools/bryan-park-pool,"12,475","5,395",0:00:38,"3,629",3.47%,33.18%,$0.00 
/parks/employment,"12,400","4,079",0:00:15,414,0.24%,10.04%,$0.00 
/boards,"12,258","5,021",0:00:25,852,20.77%,7.93%,$0.00 
/animalshelter,"11,957","9,391",0:00:51,"8,614",33.71%,35.31%,$0.00 
/sanitation/modernization/faq,"11,088","5,128",0:00:51,"2,053",0.19%,37.49%,$0.00 
/pay_utility_bill,"10,897","9,852",0:02:25,"9,439",82.61%,80.42%,$0.00 
/gis,"10,430","4,582",0:00:25,"4,237",20.30%,27.18%,$0.00 
/parks/parks/griffy-lake/boathouse,"10,190","4,721",0:00:39,"3,183",1.07%,40.72%,$0.00 
/parks/parks/bryan-park,"10,160","4,173",0:00:24,"3,432",2.42%,18.60%,$0.00 
/mayor,"9,752","5,630",0:00:49,"3,179",28.37%,31.70%,$0.00 
/sections/viewSection.php?section_id=8,"9,230","6,653",0:00:50,342,30.70%,18.78%,$0.00 
/departments/hand,"9,097","3,479",0:00:27,"2,501",1.00%,20.28%,$0.00 
/transportation/parking,"8,393","3,711",0:00:12,"3,006",0.00%,5.14%,$0.00 
/sections/viewSection.php?section_id=4,"7,883","5,802",0:00:25,543,14.36%,8.96%,$0.00 
/sanitationmodernization,"7,876","6,290",0:04:26,"4,908",77.89%,75.62%,$0.00 
/public-safety/accident-reports,"7,675","3,076",0:00:38,"1,281",0.16%,29.99%,$0.00 
/ureport,"7,375","3,313",0:00:54,"1,185",14.60%,30.06%,$0.00 
/parks/community-events/concerts,"7,020","3,170",0:00:29,"2,437",2.38%,36.23%,$0.00 
/parks/trails/b-line-trail,"6,939","2,769",0:00:35,"2,403",1.37%,31.17%,$0.00 
/parks/parks/lower-cascades,"6,823","2,720",0:00:31,"2,255",1.91%,26.67%,$0.00 
/fire,"6,590","3,051",0:00:27,"2,665",13.81%,25.66%,$0.00 
/departments/police,"6,514","2,719",0:00:32,"1,041",0.48%,22.89%,$0.00 
/utilities/forms,"6,470","2,192",0:00:52,226,0.44%,25.92%,$0.00 
/planning,"6,458","2,717",0:00:27,"1,525",15.41%,14.45%,$0.00 
/directory,"6,115","5,332",0:02:48,"2,366",65.68%,58.74%,$0.00 
/parks/registration,"6,082","2,405",0:00:49,220,0.45%,27.79%,$0.00 
/planning/udo,"5,682","1,761",0:00:56,964,2.28%,21.61%,$0.00 
/animal-shelter/animals/57672,"5,643","2,626",0:00:27,64,0.00%,6.17%,$0.00 
/documents/viewDocument.php?document_id=42,"5,574","3,883",0:01:03,191,56.02%,59.38%,$0.00 
/animal-shelter/animals/56672,"5,468","2,605",0:00:15,36,0.00%,8.19%,$0.00 
/transportation/parking/monthly-parking,"5,464","2,195",0:00:45,852,0.35%,31.46%,$0.00 
/police/noise,"5,396","2,365",0:00:40,"2,122",1.23%,39.86%,$0.00 
/documents/viewDocument.php?document_id=656,"5,335","4,216",0:01:32,238,69.33%,65.21%,$0.00 
/clerk,"5,280","3,065",0:00:30,"1,612",10.73%,14.98%,$0.00 
/departments/hr,"5,075","1,948",0:00:19,576,0.69%,12.77%,$0.00 
/parks/parks/griffy-lake/amenities,"4,995","2,121",0:00:44,824,0.73%,26.11%,$0.00 
/sections/viewSection.php?section_id=302,"4,983","3,410",0:01:07,627,20.89%,47.88%,$0.00 
/node/2895,"4,779","2,150",0:00:26,"1,478",0.00%,34.88%,$0.00 
/sections/viewSection.php?section_id=5,"4,777","3,702",0:00:31,77,36.36%,10.91%,$0.00 
/parks/community-events/fourth-of-july-parade,"4,774","2,190",0:00:37,"2,150",2.23%,44.47%,$0.00 
/rfp,"4,734","2,332",0:00:54,"1,700",30.53%,35.23%,$0.00 
/contact/directory,"4,677","2,155",0:00:52,708,0.14%,34.36%,$0.00 
/animal-shelter/animals/57626,"4,533","2,146",0:00:14,31,0.00%,4.79%,$0.00 
/departments/public-works/street/leaf-collection,"4,405","1,786",0:00:33,"1,399",0.07%,36.16%,$0.00 
/police/employment/applicant-info,"4,397","2,028",0:01:01,428,2.34%,30.91%,$0.00 
/departments/public-works,"4,396","1,812",0:00:18,393,0.76%,11.24%,$0.00 
/animal-shelter/policies,"4,360","1,822",0:00:43,169,0.00%,17.59%,$0.00 
/animal-shelter/volunteer,"4,358","2,007",0:00:49,566,1.41%,29.16%,$0.00 
/search/node?keys=,"4,308","1,589",0:00:09,30,3.33%,4.27%,$0.00 
/city/showers-city-hall,"4,306","1,858",0:00:29,583,0.51%,26.36%,$0.00 
/griffylake,"4,302","3,060",0:01:40,"2,336",49.04%,41.98%,$0.00 
/parks/parks/ferguson-dog-park,"4,224","1,499",0:00:24,"1,376",0.73%,21.92%,$0.00 
/parks/facilities/cascades-golf-course/rates,"4,221","1,883",0:00:42,455,1.98%,34.28%,$0.00 
/sanitation/leaf-collection,"4,221","1,665",0:00:34,"1,320",0.30%,33.76%,$0.00 
/recreation/programs/10283,"4,219","1,913",0:00:40,742,0.13%,34.49%,$0.00 
/documents/viewDocument.php?document_id=6112,"4,120","3,037",0:01:12,"1,305",43.07%,48.98%,$0.00 
/departments/parks,"4,053","1,716",0:00:32,430,0.70%,17.59%,$0.00 
/parks/community-events,"4,016","1,448",0:00:18,"1,265",0.87%,24.08%,$0.00 
/parks/facilities/banneker-community-center,"4,004","1,491",0:00:37,"1,269",1.34%,27.47%,$0.00 
/bloomington-community-farmers-market,"3,964","3,040",0:01:11,"2,878",38.67%,38.12%,$0.00 
/departments/utilities,"3,937","1,599",0:00:23,389,1.03%,13.39%,$0.00 
/green-building-benefits,"3,922","3,258",0:05:00,"3,173",83.55%,78.89%,$0.00 
/cascades,"3,858","2,234",0:00:56,"1,916",29.96%,29.81%,$0.00 
/parks/rentals/shelters,"3,815","1,303",0:00:56,478,1.26%,24.64%,$0.00 
/parks/parks/leonard-springs-nature-park,"3,802","1,669",0:00:42,"1,441",0.62%,37.32%,$0.00 
/sections/viewSection.php?section_id=281,"3,746","2,411",0:01:47,214,39.72%,38.87%,$0.00 
/housing/rental-occupancy,"3,727","1,206",0:00:58,529,0.00%,25.36%,$0.00 
/node/2790,"3,707","1,487",0:00:53,340,0.00%,30.37%,$0.00 
/animal-shelter/lost-pets,"3,680","1,556",0:00:35,468,0.43%,24.73%,$0.00 
/parks/facilities/twin-lakes-recreation-center/membership,"3,660","1,448",0:00:37,257,1.56%,20.85%,$0.00 
/planning/projects/tapp-rockport,"3,625","1,575",0:00:22,"1,515",0.07%,41.79%,$0.00 
/animal-shelter/animals/56937,"3,600","1,600",0:00:15,54,0.00%,5.58%,$0.00 
/bryan_park,"3,490","2,806",0:01:01,"2,534",28.77%,30.74%,$0.00 
/animal-shelter/animals/57777,"3,449","1,580",0:00:17,41,0.00%,6.38%,$0.00 
/transportation/parking/appeal-ticket,"3,388","1,486",0:00:44,832,1.44%,39.43%,$0.00 
/transportation/bike,"3,338","1,260",0:00:29,"1,054",1.33%,20.01%,$0.00 
/parks/parks,"3,298","1,112",0:00:21,199,0.50%,9.70%,$0.00 
/bryan_park_pool,"3,259","2,838",0:02:30,"2,511",69.37%,67.41%,$0.00 
/departments/planning-and-transportation,"3,251","1,324",0:00:30,168,0.00%,14.46%,$0.00 
/kidcity,"3,230","2,088",0:01:55,"1,635",42.02%,38.14%,$0.00 
/softball,"3,224","2,502",0:02:49,"1,896",74.54%,69.35%,$0.00 
/mybloomington,"3,220","2,468",0:00:22,129,19.38%,5.56%,$0.00 
/sections/viewSection.php?section_id=16,"3,091","2,208",0:00:18,52,7.69%,4.98%,$0.00 
/sections/viewSection.php?section_id=437,"3,091","2,380",0:00:42,308,17.21%,14.78%,$0.00 
/farmersmarket,"3,074","2,238",0:01:06,"1,824",37.39%,34.22%,$0.00 
/recreation/programs/10269,"3,072","1,347",0:00:28,"1,295",0.00%,38.05%,$0.00 
/animal-shelter/animals/57555,"3,049","1,408",0:00:18,32,0.00%,7.12%,$0.00 
/boards/plan,"3,024","1,167",0:00:33,541,0.74%,13.53%,$0.00 
/planning/bids,"3,021",986,0:00:21,558,0.18%,12.08%,$0.00 
/utilities/water-quality,"2,946","1,038",0:00:46,776,0.39%,29.40%,$0.00 
/arts,"2,939","1,274",0:00:29,631,22.82%,20.07%,$0.00 
/fire/recruitment,"2,907","1,377",0:00:09,41,0.00%,10.80%,$0.00 
/sections/viewSection.php?section_id=436,"2,880","2,045",0:00:30,171,22.81%,9.20%,$0.00 
/documents/viewDocument.php?document_id=302,"2,877","2,339",0:01:45,628,62.90%,53.39%,$0.00 
/utilities/faqs,"2,838","1,258",0:00:39,340,0.29%,25.55%,$0.00 
/twin-lakes-recreation-center,"2,797","2,074",0:01:11,"1,875",35.25%,33.00%,$0.00 
/documents/viewDocument.php?document_id=8325,"2,784","2,399",0:02:58,"1,703",79.33%,71.34%,$0.00 
/sections/viewSection.php?section_id=197,"2,757","1,744",0:00:58,960,36.32%,26.01%,$0.00 
/animal-shelter/animals/56695,"2,750","1,276",0:00:18,50,0.00%,6.55%,$0.00 
/transportation/parking/downtown-parking/morton-st-garage,"2,747","1,156",0:00:27,459,0.44%,17.80%,$0.00 
/sections/viewSection.php?section_id=3,"2,742","2,116",0:00:18,21,33.33%,6.93%,$0.00 
/myBloomington,"2,714","1,050",0:00:14,23,4.35%,12.64%,$0.00 
/sanitation/modernization/plan,"2,696","1,185",0:00:40,120,4.17%,15.84%,$0.00 
/parks/pools/mills-pool,"2,676","1,222",0:00:27,792,4.92%,33.30%,$0.00 
/parks/volunteer,"2,655","1,023",0:00:41,521,0.96%,24.71%,$0.00 
/boards/plan/comprehensive-plan,"2,643",926,0:01:14,646,1.08%,27.28%,$0.00 
/departments/hr/jobs/auditing,"2,628","1,259",0:00:17,31,3.23%,13.58%,$0.00 
/locations/lake-monroe,"2,617","1,187",0:00:26,"1,122",3.39%,41.15%,$0.00 
/tlrc,"2,609","1,903",0:01:01,"1,158",41.62%,32.58%,$0.00 
/parks/trails,"2,603",919,0:00:20,450,0.22%,13.71%,$0.00 
/farmers-market/a-fair-of-the-arts,"2,556",987,0:00:33,597,2.51%,28.29%,$0.00 
/departments/esd,"2,550","1,040",0:00:38,398,0.75%,20.67%,$0.00 
/news/2017/09/01/2827,"2,547","1,211",0:00:19,"1,086",0.00%,43.03%,$0.00 
/departments/fire,"2,529","1,124",0:00:35,329,2.13%,29.18%,$0.00 
/sections/viewSection.php?section_id=299,"2,529","1,856",0:01:31,"1,032",68.51%,46.78%,$0.00 
/documents/viewDocument.php?document_id=2446,"2,527","1,321",0:00:44,605,26.94%,29.60%,$0.00 
/animal-shelter/animals/57017,"2,512","1,178",0:00:07,17,5.88%,4.54%,$0.00 
/sections/viewSection.php?section_id=34,"2,511","2,131",0:01:06,52,67.31%,65.43%,$0.00 
/sections/viewSection.php?section_id=218,"2,468","1,917",0:00:59,73,45.21%,25.85%,$0.00 
/mcswmd,"2,462","1,858",0:01:31,629,48.49%,41.75%,$0.00 
/farmers-market/vendors,"2,454",827,0:00:45,230,2.61%,23.39%,$0.00 
/departments/hr/jobs/crime-scene-technician-property-manager-police-department,"2,434","1,106",0:00:20,527,0.00%,28.84%,$0.00 
/animal-shelter/animals/57774,"2,401","1,100",0:00:15,20,0.00%,4.83%,$0.00 
/utilities/rates,"2,397","1,063",0:00:50,470,0.21%,30.04%,$0.00 
/animal-shelter/strays,"2,395","1,073",0:00:32,77,0.00%,16.83%,$0.00 
/documents/viewDocument.php?document_id=2334,"2,390","1,931",0:01:26,"1,609",67.25%,61.84%,$0.00 
/recreation/sports/basketball,"2,390",955,0:00:17,639,0.78%,9.71%,$0.00 
/housing/renters,"2,386",781,0:00:21,191,0.00%,9.81%,$0.00 
/sections/viewSection.php?section_id=97,"2,367","1,308",0:00:38,444,38.29%,21.17%,$0.00 
/arts/bead,"2,366",854,0:00:34,617,0.97%,24.34%,$0.00 
/documents/viewDocument.php?document_id=149,"2,364","1,475",0:00:31,"1,384",14.23%,15.99%,$0.00 
/recreation/camps/kid-city-summer,"2,364",961,0:00:42,832,4.93%,30.63%,$0.00 
/parks/facilities/twin-lakes-sports-park,"2,362","1,007",0:00:26,651,0.31%,24.89%,$0.00 
/departments/cfrd,"2,334",901,0:00:30,547,0.91%,24.59%,$0.00 
/planning/permits,"2,313",665,0:00:39,140,0.00%,14.40%,$0.00 
/neighborhoods,"2,305",954,0:00:15,300,7.00%,11.58%,$0.00 
/about/census-data,"2,301",885,0:00:54,630,0.32%,31.12%,$0.00 
/documents/viewDocument.php?document_id=147,"2,290","1,475",0:00:44,931,26.32%,28.34%,$0.00 
/recreation/programs/10164,"2,287","1,021",0:00:31,782,1.66%,36.25%,$0.00 
/transportation/parking/downtown-parking/4th-street-parking-garage,"2,286",983,0:00:25,389,0.77%,20.95%,$0.00 
/sections/viewSection.php?section_id=662,"2,270",895,0:02:17,148,48.65%,31.63%,$0.00 
/neighborhoods/associations,"2,254",718,0:01:08,357,0.28%,24.18%,$0.00 
/city/budget,"2,242",785,0:00:53,465,0.43%,25.25%,$0.00 
/documents/viewDocument.php?document_id=8920,"2,242",574,0:00:28,121,44.63%,9.32%,$0.00 
/business/licenses,"2,235",717,0:00:40,525,2.29%,24.70%,$0.00 
/recreation/programs/10232,"2,227","1,035",0:00:33,756,0.00%,31.93%,$0.00 
/sections/viewSection.php?section_id=10,"2,217","1,765",0:00:28,165,39.39%,16.64%,$0.00 
/sections/viewSection.php?section_id=6,"2,216","1,709",0:00:28,29,41.38%,12.55%,$0.00 
/hand,"2,206","1,727",0:01:12,"1,426",36.75%,33.73%,$0.00 
/news/2017/10/20/2937,"2,203","1,034",0:00:32,767,0.00%,42.31%,$0.00 
/parks/parks/wapehani-mountain-bike-park,"2,192",917,0:00:46,785,1.53%,36.63%,$0.00 
/animal-shelter/location,"2,191",991,0:00:32,147,0.68%,24.87%,$0.00 
/recycle,"2,191","1,757",0:01:50,"1,423",65.00%,59.15%,$0.00 
/documents/viewDocument.php?document_id=481,"2,159","1,466",0:03:06,"1,341",70.02%,62.53%,$0.00 
/contact/phone,"2,154","1,033",0:00:37,235,0.85%,34.91%,$0.00 
/pumpkinlaunch,"2,148","1,003",0:00:20,965,0.00%,43.99%,$0.00 
/documents/viewDocument.php?document_id=281,"2,147","1,399",0:01:15,"1,212",45.63%,52.54%,$0.00 
/calendars/,"2,139","1,619",0:00:41,275,34.18%,19.82%,$0.00 
/council/meetings,"2,131",895,0:00:33,173,0.00%,15.06%,$0.00 
/animal-shelter/animals/57775,"2,128",953,0:00:15,18,0.00%,5.03%,$0.00 
/documents/viewDocument.php?document_id=6284,"2,122","1,103",0:02:01,449,43.88%,33.51%,$0.00 
/police/permits,"2,088",837,0:00:11,23,8.70%,6.66%,$0.00 
/node/2842,"2,082",527,0:00:20,116,0.00%,7.78%,$0.00 
/animal-shelter/animals/57333,"2,076",926,0:00:28,88,0.00%,11.32%,$0.00 
/sections/viewSection.php?section_id=441,"2,056","1,296",0:01:14,579,43.35%,30.79%,$0.00 
/farmers-market/product-availability,"2,052",954,0:00:38,153,1.31%,31.63%,$0.00 
/departments/hr/jobs/police-dispatch,"2,042",918,0:00:28,377,0.00%,26.64%,$0.00 
/sections/viewSection.php?section_id=129,"2,037","1,441",0:00:52,224,30.80%,27.88%,$0.00 
/skatingschool,"2,031","1,023",0:01:30,462,10.82%,34.47%,$0.00 
/departments/hr/jobs/comm-events,"2,030",956,0:00:29,148,0.00%,20.39%,$0.00 
/parks/parks/switchyard-park,"2,030",818,0:00:50,693,2.31%,35.22%,$0.00 
/animal-shelter/animals/57140,"2,020",930,0:00:15,23,0.00%,4.85%,$0.00 
/m/viewPage.php?docType=section;section_id=1,"2,019",835,0:00:27,771,0.13%,34.97%,$0.00 
/frank-southern-ice-arena,"2,005","1,582",0:01:18,"1,482",48.92%,45.84%,$0.00 
/b-line,"1,990","1,361",0:01:24,970,49.59%,40.85%,$0.00 
/Downtown+Parking,"1,968","1,781",0:02:47,"1,637",74.16%,71.75%,$0.00 
/documents/viewDocument.php?document_id=62,"1,963","1,330",0:00:40,460,21.09%,26.95%,$0.00 
/departments/public-works/street,"1,962",844,0:00:32,478,1.26%,23.90%,$0.00 
/permits,"1,962",794,0:00:13,125,0.00%,4.28%,$0.00 
/documents/viewDocument.php?document_id=3799,"1,944","1,289",0:00:27,995,5.53%,34.83%,$0.00 
/animal-shelter/animals/56632,"1,939",855,0:00:17,45,0.00%,7.63%,$0.00 
/departments/office-of-the-mayor,"1,939",895,0:00:45,251,0.40%,27.44%,$0.00 
/lower-cascades,"1,925","1,409",0:01:33,"1,038",50.96%,43.53%,$0.00 
/boards/historic-preservation,"1,923",734,0:00:34,429,0.23%,17.47%,$0.00 
/concerts,"1,902","1,601",0:02:11,924,74.89%,59.67%,$0.00 
/documents/viewDocument.php?document_id=5670,"1,886","1,613",0:03:49,"1,609",85.89%,84.46%,$0.00 
/transportation/bike/map,"1,874",765,0:00:43,228,0.44%,30.47%,$0.00 
/animal-shelter/animals/57344,"1,857",815,0:00:21,40,0.00%,8.78%,$0.00 
/animal-shelter/animals/56689,"1,855",857,0:00:21,64,0.00%,7.87%,$0.00 
/mapgallery,"1,830","1,065",0:00:24,210,20.00%,8.20%,$0.00 
/parking-tickets,"1,821","1,631",0:01:22,"1,541",64.89%,62.82%,$0.00 
/documents/viewDocument.php?document_id=8274,"1,819","1,178",0:02:33,504,71.03%,46.34%,$0.00 
/sections/viewSection.php?section_id=9,"1,819","1,413",0:00:50,70,42.86%,15.12%,$0.00 
/council/meetings/2017,"1,813",749,0:01:14,93,0.00%,28.96%,$0.00 
/transportation/parking/downtown-parking/7th-and-walnut-street-parking-garage,"1,791",774,0:00:25,220,0.00%,18.93%,$0.00 
/housing/home-buyers-club,"1,776",722,0:00:34,487,0.82%,27.65%,$0.00 
/animal-shelter/animals/57919,"1,775",824,0:00:09,5,0.00%,3.83%,$0.00 
/animal-shelter/animals/56834,"1,762",811,0:00:15,18,0.00%,5.96%,$0.00 
/node/2908,"1,756",781,0:00:36,349,0.00%,27.56%,$0.00 
/documents/viewDocument.php?document_id=5161,"1,749","1,205",0:01:35,164,48.17%,42.77%,$0.00 
/boards/plan/meetings/2017,"1,748",760,0:00:38,400,0.00%,37.53%,$0.00 
/municipal-code,"1,748",691,0:00:53,122,0.00%,22.94%,$0.00 
/animal-shelter/animals/56965,"1,741",806,0:00:24,20,0.00%,6.72%,$0.00 
/sections/viewSection.php?section_id=380,"1,736","1,411",0:01:47,"1,164",74.74%,69.18%,$0.00 
/animal-shelter/animals/57814,"1,735",769,0:00:12,19,0.00%,5.13%,$0.00 
/parks/parks/ferguson-dog-park/rules,"1,716",804,0:00:42,145,0.69%,27.10%,$0.00 
/utilities/,"1,711",823,0:00:29,738,12.33%,19.87%,$0.00 
/news/2017/08/31/2820,"1,710",800,0:00:23,691,0.00%,41.05%,$0.00 
/sections/viewSection.php?section_id=62,"1,689","1,042",0:00:35,651,15.36%,36.35%,$0.00 
/sustainability/solarize,"1,675",716,0:00:32,567,0.18%,35.58%,$0.00 
/parks/trails/bloomington-rail-trail,"1,666",646,0:00:18,120,0.00%,15.67%,$0.00 
/business,"1,665",723,0:00:18,239,16.74%,12.43%,$0.00 
/animal-shelter/animals/58022,"1,660",758,0:00:11,14,0.00%,5.60%,$0.00 
/animal-shelter/local-laws,"1,659",708,0:00:48,320,0.62%,27.31%,$0.00 
/utilities/information,"1,656",675,0:00:34,176,0.57%,14.31%,$0.00 
/about/walking-tours,"1,652",433,0:00:22,226,1.77%,11.14%,$0.00 
/business/buea,"1,645",598,0:00:46,447,1.12%,27.90%,$0.00 
/departments/hr/jobs/comm-relations,"1,640",690,0:00:36,206,0.00%,22.99%,$0.00 
/animal-shelter/animals/56133,"1,634",761,0:00:16,18,0.00%,5.02%,$0.00 
/animal-shelter/animals/55889,"1,632",765,0:00:13,16,0.00%,5.51%,$0.00 
/animal-shelter/animals/30812,"1,614",754,0:00:16,18,0.00%,10.04%,$0.00 
/animal-shelter/animals/57065,"1,612",742,0:00:15,20,0.00%,7.57%,$0.00 
/udo,"1,608",845,0:02:28,582,50.00%,38.68%,$0.00 
/departments/hr/jobs/admin-asst,"1,607",641,0:00:46,103,0.00%,22.28%,$0.00 
/deertaskforce,"1,595",717,0:00:58,610,9.84%,39.31%,$0.00 
/parks/trails/clear-creek-trail,"1,591",665,0:00:31,355,0.28%,27.34%,$0.00 
/documents/viewDocument.php?document_id=530,"1,590","1,132",0:01:06,345,38.26%,24.15%,$0.00 
/mpo,"1,590",737,0:00:36,527,17.27%,17.23%,$0.00 
/documents/viewDocument.php?document_id=670,"1,584","1,140",0:02:18,514,63.62%,54.04%,$0.00 
/node/2848,"1,584",649,0:00:56,143,0.00%,31.94%,$0.00 
/recreation/programs/10153,"1,575",554,0:00:51,516,0.00%,30.98%,$0.00 
/departments/police/parking-enforcement,"1,573",726,0:00:21,318,0.31%,23.97%,$0.00 
/sections/viewSection.php?section_id=162,"1,563","1,075",0:01:26,390,24.30%,26.49%,$0.00 
/banneker,"1,560","1,095",0:01:33,807,51.67%,41.03%,$0.00 
/public-safety,"1,550",624,0:00:11,86,2.33%,8.45%,$0.00 
/sections/viewSection.php?section_id=381,"1,550",687,0:01:18,493,38.54%,31.81%,$0.00 
/sections/viewSection.php?section_id=210,"1,547","1,071",0:00:46,295,28.81%,22.62%,$0.00 
/documentTypes/documents.php?documentType_id=4,"1,538","1,287",0:00:24,24,37.50%,9.56%,$0.00 
/parks/facilities/winslow-sports-complex,"1,530",678,0:00:33,433,0.69%,33.07%,$0.00 
/documents/viewDocument.php?document_id=914,"1,529","1,243",0:02:52,149,81.21%,50.23%,$0.00 
/animal-shelter/animals/56442,"1,518",681,0:00:10,20,0.00%,7.44%,$0.00 
/police/employment/recruitment,"1,518",685,0:00:30,60,1.67%,16.27%,$0.00 
/parks/parks/olcott-park,"1,517",691,0:00:34,522,2.68%,34.21%,$0.00 
/animal-shelter/donate-supplies,"1,505",680,0:00:37,185,0.54%,33.55%,$0.00 
/latino,"1,501",678,0:00:45,548,20.80%,32.18%,$0.00 
/animal-shelter/foster,"1,496",631,0:00:37,208,0.48%,26.94%,$0.00 
/housing/loans,"1,491",535,0:00:17,67,1.49%,7.58%,$0.00 
/police/faqs,"1,486",693,0:00:33,200,0.50%,22.81%,$0.00 
/animal-shelter/animals/57556,"1,482",642,0:00:24,26,0.00%,7.83%,$0.00 
/animal-shelter/animals/58187,"1,472",598,0:00:24,49,0.00%,9.85%,$0.00 
/animal-shelter/animals/57337,"1,465",676,0:00:17,17,0.00%,5.46%,$0.00 
/utilities/commercial,"1,454",525,0:00:36,35,0.00%,18.29%,$0.00 
/animal-shelter/animals/57828,"1,444",647,0:00:11,6,0.00%,3.74%,$0.00 
/historic-bloomington/districts,"1,440",475,0:00:31,133,0.75%,10.90%,$0.00 
/animal-shelter/animals/57033,"1,436",662,0:00:11,11,0.00%,5.22%,$0.00 
/housing/affordable,"1,432",626,0:00:49,438,0.00%,33.31%,$0.00 
/animal-shelter/animals/57401,"1,429",673,0:00:14,8,0.00%,5.32%,$0.00 
/departments/hr/jobs/community-affairs-and-accreditation-specialist-police-department,"1,424",652,0:00:24,412,0.00%,33.43%,$0.00 
/animal-shelter/animals/57554,"1,414",650,0:00:12,4,0.00%,3.68%,$0.00 
/animal-shelter/animals/55988,"1,413",642,0:00:17,44,0.00%,8.70%,$0.00 
/cbu_online,"1,407","1,163",0:01:35,"1,140",80.00%,76.83%,$0.00 
/documents/viewDocument.php?document_id=6175,"1,401","1,095",0:02:03,394,66.24%,55.53%,$0.00 
/departments/hr/jobs/environmental-programs,"1,398",639,0:00:29,85,0.00%,15.09%,$0.00 
/documents/viewDocument.php?document_id=246,"1,398",942,0:01:26,19,68.42%,34.41%,$0.00 
/sections/viewSection.php?section_id=464,"1,394",681,0:01:19,147,36.05%,26.76%,$0.00 
/farmers-market/parking,"1,388",647,0:00:28,236,0.00%,25.72%,$0.00 
/animal-shelter/animals/58179,"1,386",644,0:00:11,27,0.00%,7.14%,$0.00 
